,Diameter,FWHM,dist,EY,EY2,VY,sigmaY,Pmiss,EL,sigma_b
88,7.0,6.0,12.0,6.460407836650821e-09,4.180421168867303e-17,6.73422728136904e-20,2.5950389749229277e-10,0.00645218749231767,3.0867119582178513e-16,1.2
89,7.0,6.0,16.0,5.302442343736144e-09,2.8153373837606586e-17,3.747902896053775e-20,1.9359501274706887e-10,0.004175939908503401,1.8571031234072632e-17,1.2
90,7.0,6.0,20.0,4.446337246816004e-09,1.9792278175485862e-17,2.236326306254185e-20,1.4954351561516083e-10,0.0027830506832439874,1.0891837776727282e-18,1.2
91,9.0,6.0,4.0,9.561089486418676e-09,9.160409218935673e-17,1.8966002205098817e-19,4.354997382903785e-10,0.010832057159064002,7.500919800456324e-15,1.2
92,9.0,6.0,6.0,8.414584628717173e-09,7.093278071819564e-17,1.2754624435232257e-19,3.5713617060208643e-10,0.008155302772538287,1.4852585137288584e-15,1.2
93,9.0,6.0,8.0,7.468695083017412e-09,5.586967182396794e-17,8.826558087947466e-20,2.9709523873578764e-10,0.006182505704390261,2.7911849067201233e-16,1.2
94,9.0,6.0,10.0,6.684857475855674e-09,4.4750337837102335e-17,6.301836459884321e-20,2.5103458845115986e-10,0.004766272464556693,5.3160878912990175e-17,1.2
95,9.0,6.0,12.0,6.024273323395031e-09,3.633792471071985e-17,4.605563575083406e-20,2.146057682142632e-10,0.0037097467474593686,9.93133640117545e-18,1.2
96,9.0,6.0,16.0,4.978125431740616e-09,2.480792592986368e-17,2.6193115720982376e-20,1.6184287355636755e-10,0.0023317876763349087,3.5705195500186365e-19,1.2
97,9.0,6.0,20.0,4.192210099077595e-09,1.759037318049578e-17,1.5747665687601892e-20,1.2548970351228778e-10,0.0014802253125286648,1.0560275160405306e-20,1.2
98,11.0,6.0,4.0,8.368246536264223e-09,7.012807529833004e-17,1.0052520663186711e-19,3.170571031089938e-10,0.004966096079619139,8.545629778614363e-17,1.2
99,11.0,6.0,6.0,7.446345915022929e-09,5.551844980145278e-17,7.038231527411748e-20,2.652966552260271e-10,0.0037119028746460717,1.2321740551668623e-17,1.2
100,11.0,6.0,8.0,6.6716861837766474e-09,4.456196937992566e-17,5.057284512945393e-20,2.248840704217485e-10,0.0028147006442724655,1.7652760447573615e-18,1.2
101,11.0,6.0,10.0,6.015071590242589e-09,3.6218040094113086e-17,3.6953858369572454e-20,1.9223386374302644e-10,0.0021280596591986985,2.2494581768043293e-19,1.2
102,11.0,6.0,12.0,5.45236644017519e-09,2.9755866389466504e-17,2.7566591517827393e-20,1.6603189909721382e-10,0.0016312913690276739,2.878028323763856e-20,1.2
103,11.0,6.0,16.0,4.5503302319325974e-09,2.072162100440252e-17,1.6115784762755726e-20,1.269479608452051e-10,0.0009764384939598534,4.1689369827396415e-22,1.2
104,11.0,6.0,20.0,3.861165632279816e-09,1.4918560355453863e-17,9.960315555073555e-21,9.980138052689229e-11,0.0006022981109323749,5.5723686296068076e-24,1.2
105,3.0,7.0,4.0,7.708819298258704e-09,5.955410755087434e-17,1.2821257766852366e-19,3.5806783947811296e-10,0.011681076005855369,8.842989394864403e-15,1.2
106,3.0,7.0,6.0,6.816766357446371e-09,4.65557332467686e-17,8.742967475593904e-20,2.956850939021767e-10,0.008917718385009482,1.945348741400763e-15,1.2
107,3.0,7.0,8.0,6.091430874558102e-09,3.716725671292885e-17,6.172661340916785e-20,2.4844841196749045e-10,0.006893396172367802,4.2389447290796455e-16,1.2
108,3.0,7.0,10.0,5.481526259945433e-09,3.0092272754078314e-17,4.5142615606950815e-20,2.1246791665319923e-10,0.005508512685659732,1.0421613729286046e-16,1.2
109,3.0,7.0,12.0,4.954088564865666e-09,2.4576049028082815e-17,3.3055519550062096e-20,1.8181176955868973e-10,0.00427946052176101,2.0231405771522957e-17,1.2
110,3.0,7.0,16.0,4.126963206754186e-09,1.7051190548406884e-17,1.9365238504087652e-20,1.3915904032468625e-10,0.002819940895371787,1.105877770320415e-18,1.2
111,3.0,7.0,20.0,3.5016069671496463e-09,1.2273202985942108e-17,1.1951633551163175e-20,1.0932352697916024e-10,0.0018742181445254877,5.200153324057304e-20,1.2
112,5.0,7.0,4.0,9.418690459259405e-09,8.892393292967453e-17,2.122029623303907e-19,4.6065492760893233e-10,0.014164082392581663,2.7638387983745085e-14,1.2
113,5.0,7.0,6.0,8.263878672962177e-09,6.843238402276212e-17,1.406933013230087e-19,3.7509105737541745e-10,0.01068456844430313,6.0463069856425146e-15,1.2
114,5.0,7.0,8.0,7.324165615038746e-09,5.374020434376868e-17,9.68023872527828e-20,3.1113082015895307e-10,0.008185234584528325,1.3187590273747065e-15,1.2
115,5.0,7.0,10.0,6.546893823688722e-09,4.293053194098913e-17,6.871320233559463e-20,2.6213203225778157e-10,0.006362037977397495,2.8855066512517537e-16,1.2
116,5.0,7.0,12.0,5.897965569246304e-09,3.483608387052766e-17,5.0086014512778964e-20,2.2379904940097258e-10,0.005000539254302841,6.280538314358515e-17,1.2
117,5.0,7.0,16.0,4.8666429215953e-09,2.3712412956449974e-17,2.8199630136331866e-20,1.679274549808097e-10,0.0031692601603730054,2.8614728814367434e-18,1.2
118,5.0,7.0,20.0,4.1007628173303945e-09,1.683340424168081e-17,1.7148557681295132e-20,1.309525016228981e-10,0.0021191133989708916,1.4878222701568047e-19,1.2
119,7.0,7.0,4.0,9.335862332430477e-09,8.73428823867355e-17,1.8455689664128019e-19,4.2960085735631417e-10,0.011268598885602093,8.943975133537593e-15,1.2
120,7.0,7.0,6.0,8.21129793766287e-09,6.754867690866452e-17,1.2326308759800334e-19,3.510884327317027e-10,0.008407832279234502,1.7094722307766041e-15,1.2
121,7.0,7.0,8.0,7.2892927345879045e-09,5.321899929766587e-17,8.521072714986184e-20,2.9190876511311173e-10,0.006366969747781428,3.227046752718518e-16,1.2
122,7.0,7.0,10.0,6.529000504642508e-09,4.268883331751335e-17,6.098572789122897e-20,2.4695288597469146e-10,0.004927522133104125,6.359277720699567e-17,1.2
123,7.0,7.0,12.0,5.8839674177696415e-09,3.4665554342361216e-17,4.448176898647152e-20,2.109070150243266e-10,0.0038227155438943674,1.1761385926044793e-17,1.2
124,7.0,7.0,16.0,4.8635210896140585e-09,2.3678906662034488e-17,2.5069272913769958e-20,1.583327916565926e-10,0.002348679055096877,3.6705990217247864e-19,1.2
125,7.0,7.0,20.0,4.100530964776422e-09,1.6829438372099872e-17,1.5084179009617898e-20,1.2281766570659896e-10,0.001485214308255768,1.0599620963856178e-20,1.2
126,9.0,7.0,4.0,8.6258008564022e-09,7.452962520388526e-17,1.251847895763266e-19,3.538146260067927e-10,0.007062908946023495,6.881923096044954e-16,1.2
127,9.0,7.0,6.0,7.6361789599969e-09,5.839675052978146e-17,8.552142068213404e-20,2.924404566439706e-10,0.005216018399313447,1.0485503577263867e-16,1.2
128,9.0,7.0,8.0,6.8177905443388905e-09,4.654257521220759e-17,6.030730573080072e-20,2.455754583235074e-10,0.00391392441197163,1.5843542096889583e-17,1.2
129,9.0,7.0,10.0,6.128943294428868e-09,3.760750119541473e-17,4.3555289090143433e-20,2.0869903950460202e-10,0.0029643033488489052,2.303193735288226e-18,1.2
130,9.0,7.0,12.0,5.547317605981918e-09,3.080486379847652e-17,3.213117683956262e-20,1.7925171363075619e-10,0.002257510155819677,3.1634511061238544e-19,1.2
131,9.0,7.0,16.0,4.614052014986111e-09,2.1308079595246445e-17,1.8603598249058795e-20,1.363950081530068e-10,0.001377193415979875,6.655127755200266e-21,1.2
132,9.0,7.0,20.0,3.908536470401033e-09,1.5288061269647818e-17,1.1403929192850642e-20,1.0678918106648557e-10,0.0008584997711863077,1.223431106978046e-22,1.2
133,11.0,7.0,4.0,7.69545256445289e-09,5.929316547567669e-17,7.317530393212195e-20,2.7050934167256027e-10,0.0034753175070945316,8.307119379832247e-18,1.2
134,11.0,7.0,6.0,6.878613176166431e-09,4.736705378033085e-17,5.173455300041532e-20,2.2745230928793693e-10,0.0025489979007939302,9.204426588065175e-19,1.2
135,11.0,7.0,8.0,6.186472773146034e-09,3.8309852789258323e-17,3.740741638114588e-20,1.9340996970462996e-10,0.0018882481943809642,9.705197032679764e-20,1.2
136,11.0,7.0,10.0,5.593593654268366e-09,3.1315783710647893e-17,2.7493741576560603e-20,1.6581236858739038e-10,0.0013995367771301914,9.14221898003056e-21,1.2
