,Diameter,FWHM,dist,EY,EY2,VY,sigmaY,Pmiss,EL,sigma_b
28,7.0,5.0,16.0,5.701663189408713e-09,3.260502112629318e-17,9.605800083483931e-20,3.099322520081434e-10,0.11124341907071307,1.8649938876255065e-11,1.4
29,7.0,5.0,20.0,4.750790675422733e-09,2.2626367507373053e-17,5.635546568946724e-20,2.373930615866168e-10,0.09564241030879893,1.0129769849059799e-11,1.4
30,3.0,6.0,4.0,8.636383144733655e-09,7.497083689303925e-17,3.8372307039968367e-19,6.194538484824221e-10,0.17094170591107116,8.735027208782235e-11,1.4
31,3.0,6.0,8.0,6.741806282364078e-09,4.5632644400686864e-17,1.8069245176311772e-19,4.2507934760832326e-10,0.14168968333668536,4.223939759622091e-11,1.4
32,3.0,6.0,12.0,5.429467890539876e-09,2.9573229992110285e-17,9.410841770675744e-20,3.067709531666214e-10,0.11882462502137976,2.128742040226723e-11,1.4
33,3.0,6.0,16.0,4.494760801761069e-09,2.0256658184798762e-17,5.378351975095394e-20,2.3191274167443655e-10,0.10143129288488036,1.1343680212283582e-11,1.4
34,3.0,6.0,20.0,3.794289545933335e-09,1.4429792181543673e-17,3.31590231646824e-20,1.8209619206529937e-10,0.08861473112151402,6.471714975952599e-12,1.4
35,5.0,6.0,4.0,1.0584357224806068e-08,1.1265676444955678e-16,6.281465872523704e-19,7.925569930625623e-10,0.18122897060371246,1.2380503317693218e-10,1.4
36,5.0,6.0,8.0,8.111692946120075e-09,6.607527712613489e-17,2.7571467400070063e-19,5.250853968648344e-10,0.14745887229568352,5.6364922909467956e-11,1.4
37,5.0,6.0,12.0,6.4620353631413315e-09,4.189626662293552e-17,1.3836558844640355e-19,3.719752524650041e-10,0.12256705012904458,2.7559545045912736e-11,1.4
38,5.0,6.0,16.0,5.300402136257167e-09,2.817181140704237e-17,7.754860100283366e-20,2.784754944386196e-10,0.10478233834535987,1.4666684444307223e-11,1.4
39,5.0,6.0,20.0,4.435438947865252e-09,1.971930816291794e-17,4.6189502677930395e-20,2.1491743223370782e-10,0.09025713249227135,7.986375161042377e-12,1.4
40,7.0,6.0,4.0,1.0384303891522603e-08,1.0835398379651067e-16,5.202164850191957e-19,7.212603448264681e-10,0.1634206883519096,9.38005135737777e-11,1.4
41,7.0,6.0,8.0,8.008796135930056e-09,6.437352815983265e-17,2.327126129444556e-19,4.824029570229183e-10,0.13192347927007678,4.1589351741787516e-11,1.4
42,7.0,6.0,12.0,6.395225047005201e-09,4.101652050473305e-17,1.1761710289037236e-19,3.429534996036232e-10,0.10864729355511003,1.9588563349483458e-11,1.4
43,7.0,6.0,16.0,5.2537377199559095e-09,2.7667558099527235e-17,6.579806943971796e-20,2.565113436862354e-10,0.09157179368140846,9.86999223359747e-12,1.4
44,7.0,6.0,20.0,4.408668696988998e-09,1.947578144140966e-17,3.942176159898833e-20,1.9854914152166038e-10,0.07815685793064953,5.150941241431178e-12,1.4
0,3.0,4.0,4.0,1.0936738462938664e-08,1.213961461654498e-16,1.7838979587278324e-18,1.3356264293311332e-09,0.3118119995591294,4.715879777476908e-10,1.6
1,3.0,4.0,8.0,8.29122987917917e-09,6.951244467615634e-17,7.679517667629192e-19,8.763285723762059e-10,0.27116939025814335,2.562874414344177e-10,1.6
2,3.0,4.0,12.0,6.541090098380915e-09,4.3168267517511965e-17,3.8240784237511516e-19,6.183913343305477e-10,0.24079918081797635,1.5238137751896338e-10,1.6
3,3.0,4.0,16.0,5.335194675585193e-09,2.8674153192018076e-17,2.098509656254831e-19,4.580949308009019e-10,0.21548140593054843,9.521974200570797e-11,1.6
4,3.0,4.0,20.0,4.449899312965758e-09,1.9926668230574642e-17,1.2506433504151702e-19,3.536443623776817e-10,0.19585173744591045,6.298952307405233e-11,1.6
5,5.0,4.0,4.0,1.3350785198511575e-08,1.8100476312444571e-16,2.7612977076499407e-18,1.661715290791398e-09,0.3172431434365788,6.000073782335295e-10,1.6
6,5.0,4.0,8.0,9.942394013027609e-09,9.997163794130236e-17,1.1204392310151243e-18,1.058508021233247e-09,0.27318128336876346,3.1277601683265867e-10,1.6
7,5.0,4.0,12.0,7.760714730661804e-09,6.076790383526214e-17,5.39210704551013e-19,7.343096789168811e-10,0.24102367992388452,1.8119640838367783e-10,1.6
8,5.0,4.0,16.0,6.249234716781077e-09,3.933677403323608e-17,2.838394878142098e-19,5.32765884619323e-10,0.21364431436529097,1.0925253626530682e-10,1.6
9,5.0,4.0,20.0,5.164997366663896e-09,2.6840292342174588e-17,1.630945445296072e-19,4.0384965584931133e-10,0.19181050849256087,6.947548683458721e-11,1.6
10,7.0,4.0,4.0,1.270065162192295e-08,1.6327631730858518e-16,1.969765687131107e-18,1.4034834117762515e-09,0.28355446166196185,4.365856569949358e-10,1.6
11,7.0,4.0,8.0,9.55139567430248e-09,9.205566087158317e-17,8.265015444990268e-19,9.091213035118179e-10,0.24261398444950522,2.2653279002835584e-10,1.6
12,7.0,4.0,12.0,7.50255549182864e-09,5.669007939203023e-17,4.0174048406213412e-19,6.338300119607261e-10,0.2113105665170265,1.2772939502317789e-10,1.6
13,7.0,4.0,16.0,6.068159910132336e-09,3.7037520952973583e-17,2.149562580363011e-19,4.6363375420292805e-10,0.18612991572052395,7.581240482847776e-11,1.6
14,7.0,4.0,20.0,5.036123595072856e-09,2.548798467373482e-17,1.2544380888527333e-19,3.541804750198313e-10,0.16631966998290348,4.755181350804948e-11,1.6
15,3.0,5.0,4.0,9.656702861026133e-09,9.429292541384273e-17,1.0410152676924321e-18,1.0203015572331702e-09,0.27107489767784787,2.9824783529383467e-10,1.6
16,3.0,5.0,8.0,7.4255381114536116e-09,5.560646954959368e-17,4.678533049436125e-19,6.839980299267042e-10,0.2338754637740964,1.6133618775360358e-10,1.6
17,3.0,5.0,12.0,5.938375339429837e-09,3.55060319405109e-17,2.4173026856247054e-19,4.916607250558768e-10,0.20615891171495515,9.52351302363317e-11,1.6
18,3.0,5.0,16.0,4.8767671986691986e-09,2.3919294911239848e-17,1.364366012240246e-19,3.693732546138453e-10,0.184004230868009,5.922654687689498e-11,1.6
19,3.0,5.0,20.0,4.094368892417062e-09,1.6846042437764698e-17,8.218581057217911e-20,2.8668067701221005e-10,0.16529072729171668,3.80604837805722e-11,1.6
