n_el  name       dist[m]     Energy[MeV/u] (W-Wtmp)/Wtmp,%   x_rms[cm]      y_rms[cm]      Xmax[cm]       Ymax[cm]     phi_rms[deg]   phi_max[deg]   DW/W[rel.u.]   4*exn_rms[cm*mrad]   exn99.5[cm*mrad]    exn_max[cm*mrad]   4*eyn_rms[cm*mrad]   eyn99.5[cm*mrad]    eyn_max[cm*mrad]   4*ezn_rms[keV/u*ns]  ezn99.5[keV/u*ns]    ezn_max[keV/u*ns]     Xc[cm]       X'c[mrad]        Yc[cm]       Y'c[mrad]        btgm          Zc[deg]          a_x        b_x[cm/mrad]       a_y        b_y[cm/mrad]       a_z        b_z[deg/(%ofD_W/W)]  #of_lost_part  total#of_par
  49  quad       7.46950       26.33720        0.14835        2.28184        1.85044        6.24167        5.00632        5.51119       20.38248        0.00377           7.49863            12.46453            15.17290             7.58668            12.98778            15.47085            22.49778            80.67012           175.94356         -0.00012        0.00128        0.00003        0.00266        0.23929        0.14386        6.64011        0.66463       -3.58472        0.43200       -1.55415          27.01974              0.0         10001.0
  50  drift      7.62350       26.33720        0.14835        1.93149        2.08794        5.30246        5.63989        5.33184       20.13255        0.00377           7.49863            12.46453            15.17290             7.58668            12.98778            15.47085            22.37653            80.61543           175.82427         -0.00010        0.00128        0.00007        0.00266        0.23929        0.10754        5.59531        0.47620       -4.07844        0.55002       -1.49380          25.42683              0.0         10001.0
  51  rfgap      7.62350       26.74180        0.13669        1.93149        2.08794        5.30246        5.63989        5.29120       19.94452        0.00493           7.50130            12.43348            15.13510             7.62303            13.11839            15.81482            23.25411            89.80973           213.57842         -0.00010        0.00187        0.00007        0.00304        0.24116        0.10340        5.36394        0.47976       -4.32645        0.55168       -2.04829          24.46865              0.0         10001.0
  52  drift      7.93150       26.74180        0.13669        1.27241        2.59489        3.51895        7.02760        4.79887       19.10320        0.00493           7.50130            12.43348            15.13510             7.62303            13.11839            15.81482            22.92283            89.17244           213.58668         -0.00005        0.00187        0.00016        0.00304        0.24116        0.04272        3.45261        0.20821       -5.42731        0.85209       -1.84338          20.41797              0.0         10001.0
  53  rfgap      7.93150       27.14794        0.12614        1.27241        2.59489        3.51895        7.02760        4.76273       18.92905        0.00598           7.50308            12.45319            15.12227             7.67578            13.32086            16.51688            23.61865            96.42561           246.29786         -0.00005        0.00226        0.00016        0.00358        0.24303        0.03979        3.35335        0.20977       -5.79733        0.85277       -2.27910          19.81756              0.0         10001.0
  54  drift      8.08550       27.14794        0.12614        0.96370        2.86694        2.66001        7.79315        4.45961       18.34669        0.00598           7.50308            12.45319            15.12227             7.67578            13.32086            16.51688            23.40740            96.02873           246.54358         -0.00001        0.00226        0.00022        0.00358        0.24303        0.01630        2.45439        0.12033       -6.42232        1.04096       -2.12824          17.53212              0.0         10001.0
  55  quad       8.38450       27.14794        0.12614        0.65806        2.57932        1.86766        7.05842        3.89445       17.21193        0.00598           7.50438            12.41762            15.11579             7.58714            13.05001            15.90495            23.41846            96.28688           246.57333          0.00007        0.00336        0.00026       -0.00080        0.24303       -0.11572        0.08200        0.05610       11.90147        0.85241       -1.79242          13.36372              0.0         10001.0
  56  drift      8.53850       27.14794        0.12614        0.66814        2.02526        1.81630        5.57176        3.58966       16.62976        0.00598           7.50438            12.41762            15.11579             7.58714            13.05001            15.90495            22.64514            96.17064           250.11870          0.00012        0.00336        0.00025       -0.00080        0.24303       -0.10080       -0.19438        0.05783        9.32438        0.52553       -1.68160          11.74154              0.0         10001.0
  57  rfgap      8.53850       27.55561        0.11674        0.66814        2.02526        1.81630        5.57176        3.56291       16.48373        0.00672           7.50445            12.41994            15.11862             7.59960            13.14044            16.05430            22.92794           100.31933           268.59259          0.00012        0.00365        0.00025       -0.00044        0.24488       -0.10148       -0.22138        0.05827        9.06235        0.52868       -1.94557          11.59720              0.0         10001.0
  58  drift      8.84650       27.55561        0.11674        0.82566        0.96325        2.27372        2.70214        2.88599       15.02583        0.00672           7.50445            12.41994            15.11862             7.59960            13.14044            16.05430            21.39571           100.35071           276.82953          0.00023        0.00365        0.00023       -0.00044        0.24488       -0.07061       -0.77587        0.08898        4.21953        0.11959       -1.61414           8.15403              0.0         10001.0
