 Nseed      iq         dt[nsec]         dW[Mev/u]           x[cm]            x'[mrad]          y[cm]            y'[mrad]
      0      1       0.87117E-02       0.10396E-01       0.66544E+00      -0.12307E+02       0.29538E+00       0.12371E+01
      0      1       0.93701E-02       0.46433E+00      -0.43870E+00      -0.84407E+01      -0.19872E+00       0.32132E+02
      0      1       0.74016E-02      -0.98997E-01      -0.10370E+01      -0.51500E+01      -0.82690E-02       0.19986E+01
      0      1       0.71770E-03       0.19691E+00      -0.75265E+00       0.20464E+01       0.33668E-01       0.37881E+02
      0      1       0.35255E-02       0.38994E-01      -0.21318E+01       0.22044E+01       0.27987E-01       0.41961E+01
      0      1      -0.79484E-02       0.19846E+00      -0.84731E+00       0.25218E+01      -0.18946E-01       0.28136E+02
      0      1       0.35681E-01       0.28177E+00       0.46548E+00       0.15838E+01       0.35359E+00      -0.62334E+02
      0      1       0.15637E-01       0.56062E+00      -0.11952E+01       0.16742E+01       0.92477E-01       0.28911E+02
      0      1       0.20014E-02       0.17498E+00       0.22869E+00       0.11828E+02      -0.18168E+00       0.29374E+02
      0      1       0.37399E-02       0.38916E+00      -0.87114E+00      -0.45150E+01       0.27757E+00      -0.47194E+02
      0      1      -0.22930E-01       0.18649E+00      -0.72085E+00       0.20524E+01       0.10780E+00       0.24287E+01
      0      1      -0.11189E-01       0.19761E+00       0.14890E+01      -0.40033E+01       0.15164E+00      -0.79781E+01
      0      1      -0.14041E-01       0.44910E+00      -0.88214E+00      -0.59403E+00      -0.18426E+00       0.14968E+01
      0      1      -0.12760E-01       0.32916E+00       0.11778E+01       0.24258E+01       0.26405E+00      -0.19964E+02
      0      1       0.25415E-01       0.56540E+00       0.66992E+00      -0.49069E+01      -0.84998E-01      -0.19999E+02
      0      1       0.21479E-02       0.28976E+00       0.66458E+00      -0.28839E+01       0.15834E+00      -0.20556E+02
      0      1      -0.15148E-01       0.27816E+00      -0.12809E+01       0.50489E+01      -0.24052E+00       0.11877E+02
      0      1       0.36792E-01      -0.11920E+00      -0.49619E+00      -0.38100E+01       0.46407E+00      -0.37708E+02
      0      1       0.46347E-02       0.24591E+00       0.94304E+00      -0.49652E+01      -0.13101E+00      -0.39151E+02
      0      1      -0.13177E-03       0.13768E+00       0.14488E+01       0.20744E+01      -0.21356E+00       0.14381E+02
      0      1       0.20760E-01      -0.18390E+00      -0.34898E-01      -0.46130E+01       0.11594E+00      -0.14358E+02
      0      1       0.27074E-01      -0.47106E+00       0.36385E+00      -0.49599E+01       0.33273E+00      -0.10154E+02
      0      1       0.33861E-01      -0.29909E+00       0.34877E+00      -0.10266E+01      -0.11070E+00       0.12091E+02
      0      1       0.99464E-02       0.51297E+00       0.16042E+00       0.67049E+01       0.11825E+00      -0.31700E+02
      0      1       0.11147E-01      -0.22272E+00       0.14026E+00      -0.78945E+01       0.14820E+00      -0.15574E+02
      0      1      -0.40773E-02       0.15637E+00      -0.31930E-01       0.79998E+01      -0.41849E+00       0.89674E+01
      0      1      -0.88961E-02       0.18611E+00       0.12027E+00      -0.22666E+01      -0.19727E+00       0.30446E+02
      0      1       0.44351E-01      -0.17096E+00       0.53377E+00      -0.11235E+02       0.22070E+00      -0.39143E+02
      0      1       0.12533E-01      -0.46987E-01      -0.50538E+00      -0.44748E+01       0.13895E+00       0.22687E+02
      0      1       0.18544E-01       0.43120E+00      -0.91606E-01       0.18641E+01      -0.46126E+00       0.46938E+02
      0      1       0.38462E-02      -0.40824E-01       0.98366E+00      -0.35977E+01      -0.12358E+00      -0.17389E+02
      0      1      -0.42621E-02       0.44345E+00      -0.77394E+00       0.41214E+01      -0.79773E-01       0.76279E+01
      0      1       0.46871E-01       0.43788E-01       0.96993E+00      -0.47446E+01      -0.30684E+00       0.56788E+02
      0      1       0.27514E-01      -0.48847E+00      -0.66748E+00       0.80050E+00      -0.26358E-01      -0.24586E+02
      0      1       0.20946E-01       0.15674E+00       0.39682E+00       0.84907E+01       0.22657E+00      -0.46284E+02
      0      1       0.12574E-01      -0.12689E+00       0.18145E+01       0.12520E+01      -0.11484E+00      -0.61186E+01
