,Diameter,FWHM,dist,EY,EY2,VY,sigmaY,Pmiss,EL,sigma_b
72,11.0,6.0,12.0,5.45236644017519e-09,2.9755866389466504e-17,2.7566591517827393e-20,1.6603189909721382e-10,0.030412772390540344,2.2318590081706097e-13,1.2
73,11.0,6.0,16.0,4.5503302319325974e-09,2.072162100440252e-17,1.6115784762755726e-20,1.269479608452051e-10,0.023471841278063885,6.221926906427086e-14,1.2
74,11.0,6.0,20.0,3.861165632279816e-09,1.4918560355453863e-17,9.960315555073555e-21,9.980138052689229e-11,0.01840859988135643,1.749893846522732e-14,1.2
75,3.0,7.0,8.0,6.091430874558102e-09,3.716725671292885e-17,6.172661340916785e-20,2.4844841196749045e-10,0.06336451467647372,3.661391576997351e-12,1.2
76,3.0,7.0,10.0,5.481526259945433e-09,3.0092272754078314e-17,4.5142615606950815e-20,2.1246791665319923e-10,0.05648269716283161,2.2475785522798576e-12,1.2
77,3.0,7.0,12.0,4.954088564865666e-09,2.4576049028082815e-17,3.3055519550062096e-20,1.8181176955868973e-10,0.04964349099923554,1.300920381246673e-12,1.2
78,3.0,7.0,16.0,4.126963206754186e-09,1.7051190548406884e-17,1.9365238504087652e-20,1.3915904032468625e-10,0.04014076536624178,5.004715587417349e-13,1.2
79,3.0,7.0,20.0,3.5016069671496463e-09,1.2273202985942108e-17,1.1951633551163175e-20,1.0932352697916024e-10,0.03262643430914519,1.9030197767346835e-13,1.2
80,5.0,7.0,8.0,7.324165615038746e-09,5.374020434376868e-17,9.68023872527828e-20,3.1113082015895307e-10,0.06921210728982102,5.852647405460744e-12,1.2
81,5.0,7.0,10.0,6.546893823688722e-09,4.293053194098913e-17,6.871320233559463e-20,2.6213203225778157e-10,0.06080953603735833,3.43685548699967e-12,1.2
82,5.0,7.0,12.0,5.897965569246304e-09,3.483608387052766e-17,5.0086014512778964e-20,2.2379904940097258e-10,0.053754681865718724,2.0426043369931833e-12,1.2
83,5.0,7.0,16.0,4.8666429215953e-09,2.3712412956449974e-17,2.8199630136331866e-20,1.679274549808097e-10,0.04259727221946845,7.361299144545272e-13,1.2
84,5.0,7.0,20.0,4.1007628173303945e-09,1.683340424168081e-17,1.7148557681295132e-20,1.309525016228981e-10,0.03472114700767895,2.850705763296583e-13,1.2
