n_el  name       dist[m]     Energy[MeV/u] (W-Wtmp)/Wtmp,%   x_rms[cm]      y_rms[cm]      Xmax[cm]       Ymax[cm]     phi_rms[deg]   phi_max[deg]   DW/W[rel.u.]   4*exn_rms[cm*mrad]   exn99.5[cm*mrad]    exn_max[cm*mrad]   4*eyn_rms[cm*mrad]   eyn99.5[cm*mrad]    eyn_max[cm*mrad]   4*ezn_rms[keV/u*ns]  ezn99.5[keV/u*ns]    ezn_max[keV/u*ns]     Xc[cm]       X'c[mrad]        Yc[cm]       Y'c[mrad]        btgm          Zc[deg]          a_x        b_x[cm/mrad]       a_y        b_y[cm/mrad]       a_z        b_z[deg/(%ofD_W/W)]  #of_lost_part  total#of_par
  54  drift      8.08550       27.16172        0.17695        0.99352        3.76593        2.68450        9.04618        6.09532       16.67381        0.00222           7.59087            13.26860            16.97838             8.16713            17.88302            29.78021            25.95578            79.35178           141.57320          0.00013       -0.00533        0.00078        0.01003        0.24303        0.07244        2.45995        0.12641      -12.80548        1.68808        0.39732          29.53604              0.0         10001.0
  55  quad       8.38450       27.16172        0.17695        0.70153        3.53270        1.74920        8.37479        6.18629       17.39678        0.00222           7.59222            13.27972            16.99261             8.06804            17.37832            27.65046            25.95607            79.35941           141.58681         -0.00001       -0.00437        0.00084       -0.00624        0.24303       -0.11522        0.04321        0.06302       18.48599        1.50370        0.43893          30.42392              0.0         10001.0
  56  drift      8.53850       27.16146        0.17599        0.71669        2.86534        2.01762        6.74094        6.23784       17.85463        0.00233           7.59173            13.25733            16.94228             8.07433            17.45033            27.85369            25.72575            78.67999           136.00689         -0.00008       -0.00453        0.00074       -0.00619        0.24303       -0.09682       -0.21546        0.06577       14.93310        0.98847        0.60383          31.21008              0.0         10001.0
  57  rfgap      8.53850       27.56578        0.15369        0.71669        2.86534        2.01762        6.74094        6.19269       17.69309        0.00207           7.59164            13.24868            16.90961             8.10947            17.55788            27.67199            26.69627            85.27456           161.35205         -0.00008       -0.00415        0.00074       -0.00569        0.24488       -0.10091       -0.25418        0.06628       14.38847        0.99170       -0.09217          30.08958              0.0         10001.0
  58  drift      8.84650       27.56518        0.15152        0.87510        1.59336        2.59960        3.65281        6.21245       18.38091        0.00207           7.58775            13.19489            16.81949             8.12072            17.66622            27.88669            25.81741            83.99312           142.00021         -0.00022       -0.00442        0.00057       -0.00558        0.24488       -0.05668       -0.79529        0.09886        7.88705        0.30624        0.30489          31.31276              0.0         10001.0
  59  rfgap      8.84650       27.97089        0.13040        0.87510        1.59336        2.59960        3.65281        6.16786       18.21618        0.00212           7.58572            13.15870            16.83774             8.13299            17.78386            27.80900            26.70571            89.34370           162.59090         -0.00022       -0.00401        0.00057       -0.00532        0.24673       -0.06094       -0.85962        0.09963        7.70709        0.30808       -0.29451          30.28377              0.0         10001.0
  60  drift      9.00050       27.97050        0.12898        1.00349        0.98549        2.92071        2.27976        6.15110       18.51271        0.00199           7.58492            13.17341            16.89982             8.13554            17.87788            27.73914            26.02505            88.47382           144.92027         -0.00028       -0.00412        0.00049       -0.00521        0.24673       -0.03267       -1.16537        0.13103        4.67055        0.11782       -0.03352          30.90715              0.0         10001.0
  61  quad       9.29950       27.97050        0.12898        0.99896        0.27432        2.83300        0.92999        6.14763       19.11478        0.00199           7.58532            13.17538            16.90235             8.13789            17.86384            27.76043            26.02496            88.33777           144.93481         -0.00032        0.00167        0.00047        0.00348        0.24673       -0.16735        1.19713        0.12984       -0.37899        0.00913        0.00035          30.87236              0.0         10001.0
  62  drift      9.45350       27.97100        0.13077        0.87138        0.65008        2.41915        2.27287        6.18769       19.46922        0.00218           7.59571            13.35082            17.37257             8.13821            17.84876            27.73700            25.08039            80.24787           119.68362         -0.00029        0.00162        0.00053        0.00431        0.24673       -0.17071        0.85524        0.09866       -2.35368        0.05125        0.55966          32.45396              0.0         10001.0
  63  rfgap      9.45350       28.37771        0.10949        0.87138        0.65008        2.41915        2.27287        6.14358       19.29508        0.00195           7.59912            13.41561            17.50243             8.14327            17.84980            27.91212            25.78569            83.65841           130.61423         -0.00029        0.00181        0.00053        0.00395        0.24857       -0.17411        0.78565        0.09935       -2.39251        0.05160       -0.00310          31.57701              0.0         10001.0
