NAME,S,X,Y,PX,PY,ALFX,ALFY,BETX,BETY,EMITX,EMITY,DX,DY,SIGX,SIGY
RF21,9.4535,0,0,0,0,0.7942850483,-5.106614434,0.9055642942,1.57346638,0,0,0,0,0.0185095590917668,0.02439861435124492
DR32,9.6075,0,0,0,0,0.5124004154,-7.800118466,0.7010435251,3.593612017,0,0,0,0,0.016285793354302042,0.03687245226391203
RF22,9.7615,0,0,0,0,0.205358057,-10.77141281,0.5890104545,6.503823207,0,0,0,0,0.014927872952591046,0.04960446754699879
DR33,9.8385,0,0,0,0,0.0670894333,-12.17749598,0.5677197476,8.297190772,0,0,0,0,0.014655594127433912,0.056027593166655884
QM12,10.065,0,0,0,0,-0.9699334395,-3.629748122,0.7189306383,13.05300892,0,0,0,0,0.01649225057647833,0.07027352616887343
DR34,10.2915,0,0,0,0,-2.895197402,7.846361121,1.631340101,11.0497833,0,0,0,0,0.024843265723971168,0.06465666637831669
RF23,10.3685,0,0,0,0,-3.434089492,6.987701329,2.1341766,9.928835892,0,0,0,0,0.028415258123591008,0.06128943176657992
DR35,10.5225,0,0,0,0,-4.365229859,6.208142372,3.345697215,7.879036935,0,0,0,0,0.03557785379117677,0.05459753014901107
RF24,10.6765,0,0,0,0,-5.497187318,5.177010825,4.880918966,6.114546423,0,0,0,0,0.042972164280675615,0.04809706239107518
DR36,10.7535,0,0,0,0,-5.990246715,4.826514103,5.766450291,5.343405134,0,0,0,0,0.046707939060248595,0.04496198540583799
QM13,10.98,0,0,0,0,0.09091657924,0.3057241917,7.731967753,3.942209668,0,0,0,0,0.054085574312089435,0.03861946809499286
DR37,11.2065,0,0,0,0,6.099751231,-3.939490118,5.698235358,5.0135161,0,0,0,0,0.046430848497949616,0.04355195307407382
RF25,11.2835,0,0,0,0,5.387727033,-4.422926939,4.83135593,5.680081869,0,0,0,0,0.042753428282256485,0.04635682959287539
DR38,11.4375,0,0,0,0,4.437037695,-4.976664174,3.328528349,7.117873528,0,0,0,0,0.035486450262750414,0.05189333261128087
RF26,11.5915,0,0,0,0,3.401817737,-5.878863897,2.131246143,8.785684248,0,0,0,0,0.02839574279943583,0.057653307074319524
DR39,11.6685,0,0,0,0,2.953744893,-6.186306581,1.648499465,9.702113098,0,0,0,0,0.024973581742687254,0.06058562536963168
QM14,11.895,0,0,0,0,1.015753206,3.731551586,0.7370799261,11.0923724,0,0,0,0,0.01669912518566213,0.06478114940638323
DR40,12.1215,0,0,0,0,-0.02201712471,10.72479715,0.571389517,6.934655004,0,0,0,0,0.014702885081660814,0.05122109500822052
RF27,12.1985,0,0,0,0,-0.1779522147,9.2421276,0.588855331,5.439066427,0,0,0,0,0.014925907099211587,0.04536267013399773
DR41,12.3525,0,0,0,0,-0.4433254679,6.835545633,0.6829601747,3.003783511,0,0,0,0,0.01607437583565219,0.03371093072227105
RF28,12.5065,0,0,0,0,-0.7417284083,4.378981382,0.8632862252,1.306370779,0,0,0,0,0.018072316936058715,0.022231545612149493
DR42,12.5835,0,0,0,0,-0.8776493043,3.209962303,0.9858641834,0.7319296131,0,0,0,0,0.019312787994777002,0.016640680717181586
QM15,12.81,0,0,0,0,-0.03010050475,-0.1976480386,1.289812467,0.07529239117,0,0,0,0,0.022090203352817403,0.005337181519335857
DR43,13.0365,0,0,0,0,0.8409355271,-3.779448241,1.008133054,0.9405870291,0,0,0,0,0.01952969027491581,0.01886409267442927
RF29,13.1135,0,0,0,0,0.6790588071,-5.070220938,0.8965163457,1.616658651,0,0,0,0,0.018416857795130352,0.02473122302458294
DR44,13.2675,0,0,0,0,0.4312743474,-7.58184823,0.7277058507,3.540227311,0,0,0,0,0.016592596875135493,0.036597549146765024
RF30,13.4215,0,0,0,0,0.1599148182,-10.32495587,0.6384594808,6.268945208,0,0,0,0,0.015541863803030725,0.04870052753634513
DR45,13.4985,0,0,0,0,0.03707353855,-11.63760308,0.6233950837,7.948499858,0,0,0,0,0.015357414817038915,0.054837672559136595
QM16,13.725,0,0,0,0,-1.01083382,-3.521915914,0.7828303728,12.393867,0,0,0,0,0.017209579635718432,0.06847623036568366
DR46,13.9515,0,0,0,0,-2.959012571,7.366091065,1.703412554,10.5758572,0,0,0,0,0.025386121274602245,0.0632549064367093
RF31,14.0285,0,0,0,0,-3.476945972,6.620330303,2.203890857,9.542192882,0,0,0,0,0.028875630126598946,0.060084233346048635
